Sitting _Force (N),Standing _Force (N),Walking_Force (N)
3.218452454,3.379417419,6.430084229
3.269546509,3.346199036,6.637039185
3.358978271,3.338531494,6.675361633
3.410072327,3.341087341,6.53994751
3.461174011,3.333427429,6.087715149
3.484169006,3.323204041,5.888427734
3.489280701,3.297653198,5.681472778
3.491836548,3.282325745,5.638031006
3.532714844,3.254219055,5.783668518
3.586372375,3.226112366,5.844985962
3.650245667,3.164794922,6.046836853
3.737113953,3.121360779,6.233352661
3.780548096,3.0651474,6.440307617
3.795883179,2.955284119,6.338104248
3.767776489,2.88885498,5.730010986
3.69367981,2.809646606,5.589492798
3.629806519,2.773880005,5.604820251
3.522491455,2.730445862,5.548606873
3.450958252,2.697227478,5.71723938
3.315536499,2.633354187,5.760673523
3.218452454,2.579696655,5.451522827
3.090698242,2.492828369,5.265007019
3.01915741,2.439170837,4.950737
2.929733276,2.370185852,4.628807068
2.886299133,2.329307556,4.672241211
2.832641602,2.293540955,5.170471191
2.799430847,2.293540955,5.433631897
2.761100769,2.33441925,5.124481201
2.740661621,2.385520935,4.999282837
2.712562561,2.451950073,5.203681946
2.692115784,2.477500916,5.648254395
2.653793335,2.497940063,5.959960938
2.623130798,2.495384216,6.708580017
2.569480896,2.467277527,7.252792358
2.531150818,2.439170837,7.293670654
2.485160828,2.395736694,7.096939087
2.462165833,2.367637634,7.286010742
2.451950073,2.33441925,8.144493103
2.462165833,2.331863403,8.640159607
2.477500916,2.382965088,9.038742065
2.505607605,2.411071777,9.020851135
2.520935059,2.423843384,8.859886169
2.543930054,2.439170837,8.882881165
2.554145813,2.474945068,8.632492065
2.566925049,2.492828369,7.986076355
2.577140808,2.490272522,7.017730713
2.597587585,2.416175842,6.739242554
2.597587585,2.331863403,6.488845825
2.572036743,2.227111816,6.161811829
2.554145813,2.211776733,5.735122681
2.536262512,2.250106812,5.653366089
2.541374207,2.303756714,5.574157715
2.57459259,2.421287537,5.714683533
2.607803345,2.508155823,6.297225952
2.656349182,2.641021729,6.304885864
2.684455872,2.710006714,5.553718567
2.717666626,2.804542542,5.397865295
2.738105774,2.88885498,5.709571838
2.766212463,3.047264099,5.719795227
2.773880005,3.169906616,5.783668518
2.753440857,3.376861572,5.975296021
2.730445862,3.509719849,6.307441711
2.694671631,3.719230652,6.688140869
2.666572571,3.85975647,7.293670654
2.646125793,4.061599731,7.383102417
2.638465881,4.184242249,7.275787354
2.623130798,4.350311279,7.155700684
2.618026733,4.449958801,7.168479919
2.600135803,4.55216217,7.181251526
2.58480835,4.567489624,7.286010742
2.569480896,4.564933777,7.503181458
2.543930054,4.58026123,7.400985718
2.526046753,4.639030457,7.165924072
2.503051758,4.6824646,7.132705688
2.487716675,4.687576294,6.920646667
2.457061768,4.659469604,6.478630066
2.423843384,4.58026123,5.898643494
2.357414246,4.503616333,5.829658508
2.321647644,4.350311279,5.676361084
2.293540955,4.227676392,5.553718567
2.293540955,4.02583313,5.592041016
2.301200867,3.882751465,5.648254395
2.306312561,3.634918213,5.612487793
2.308868408,3.448402405,5.502616882
2.303756714,3.215896606,5.349319458
2.290985107,3.093254089,5.203681946
2.280761719,2.896522522,5.640586853
2.273101807,2.763656616,6.149032593
2.273101807,2.58480835,5.59715271
2.275657654,2.472389221,4.812767029
2.273101807,2.352302551,4.207237244
2.273101807,2.183677673,4.125473022
2.278205872,2.081474304,4.490837097
2.280761719,1.961387634,4.96862793
2.265434265,1.920509338,5.318656921
2.234771729,1.930732727,5.23690033
2.216888428,1.935836792,5.466850281
2.209220886,1.892402649,5.806663513
2.214332581,1.874519348,5.944633484
2.219444275,1.864295959,5.786224365
2.222000122,1.856636047,5.602264404
2.227111816,1.838752747,5.737678528
2.244995117,1.833641052,6.057052612
2.270545959,1.846412659,5.965072632
2.313980103,1.859191895,5.515396118
2.352302551,1.889846802,5.257339478
2.418731689,1.925621033,5.326324463
2.467277527,2.004821777,5.464294434
2.554145813,2.07636261,5.681472778
2.615470886,2.199005127,6.044281006
2.692115784,2.252662659,6.289558411
2.72277832,2.293540955,6.616600037
2.753440857,2.347190857,6.757125854
2.786651611,2.462165833,7.132705688
2.85308075,2.546485901,7.388206482
2.909294128,2.671676636,6.91809082
2.993606567,2.75088501,6.241012573
3.049819946,2.87097168,5.586936951
3.13924408,2.965507507,5.436187744
3.195457458,3.116249084,5.198577881
3.282325745,3.221008301,5.040161133
3.341087341,3.320648193,5.08870697
3.427963257,3.461174011,5.1065979
3.484169006,3.530158997,5.024833679
3.558265686,3.596588135,5.073379517
3.599143982,3.606811523,5.20879364
3.642578125,3.627250671,4.925186157
3.637466431,3.663017273,4.268554688
3.578704834,3.703903198,4.105033875
3.530158997,3.719230652,3.923629761
3.473953247,3.678352356,3.473953247
3.399856567,3.61958313,3.264442444
3.356422424,3.532714844,3.057487488
3.289993286,3.476501465,2.830085754
3.246551514,3.394744873,2.710006714
3.187789917,3.366638184,2.801986694
3.146911621,3.366638184,2.812202454
3.088142395,3.379417419,2.927177429
3.057487488,3.318092346,3.325759888
3.014045715,3.221008301,3.542938232
2.980834961,3.083030701,3.726898193
2.937400818,2.998718262,3.890411377
2.904182434,2.878631592,4.186798096
2.827537537,2.809646606,4.317100525
2.766212463,2.72277832,4.55216217
2.697227478,2.666572571,4.764221191
2.669120789,2.57459259,4.659469604
2.643577576,2.508155823,4.401412964
2.623130798,2.416175842,4.610923767
2.595031738,2.375297546,5.006950378
2.58480835,2.331863403,5.507728577
2.559257507,2.275657654,5.753005981
2.543930054,2.227111816,6.131149292
2.520935059,2.132575989,6.447967529
2.503051758,2.089141846,7.004959106
2.480056763,2.063591003,7.270675659
2.474945068,2.063591003,7.191474915
2.467277527,2.066146851,7.148040771
2.457061768,2.061035156,7.125045776
2.43662262,2.050811768,7.183807373
2.411071777,2.045707703,7.510848999
2.375297546,2.027816772,8.167488098
2.33441925,2.02015686,8.463867188
2.324195862,2.038040161,8.522628784
2.324195862,2.061035156,8.428092957
2.326751709,2.099357605,8.124046326
2.342086792,2.109580994,7.896652222
2.359970093,2.078918457,7.86088562
2.395736694,2.068702698,7.837890625
2.423843384,2.112136841,7.659042358
2.472389221,2.181121826,7.569610596
2.508155823,2.308868408,7.50062561
2.569480896,2.405960083,7.561950684
2.615470886,2.600135803,7.572166443
2.689567566,2.733001709,7.257904053
2.740661621,2.911849976,6.683029175
2.812202454,3.016601563,6.619155884
2.84286499,3.154571533,6.3176651
2.876075745,3.249107361,5.684020996
2.906738281,3.399856567,4.999282837
2.973167419,3.481613159,4.904747009
3.031936646,3.542938232,4.685020447
3.12902832,3.647689819,4.485733032
3.195457458,3.734558105,4.388641357
3.292541504,3.880195618,4.347763062
3.35131073,3.99772644,4.301773071
3.430511475,4.176574707,4.342651367
3.473953247,4.291549683,4.314544678
3.540382385,4.449958801,3.995170593
3.583816528,4.541938782,3.57359314
3.624694824,4.674797058,3.198013306
3.69367981,4.761672974,3.042152405
3.734558105,4.881752014,2.893966675
3.777992249,4.943077087,2.878631592
3.78565979,4.999282837,2.850532532
3.78565979,5.04271698,2.814758301
3.793327332,5.157691956,2.850532532
3.806098938,5.262451172,2.832641602
3.798431396,5.415748596,2.786651611
3.752441406,5.487289429,2.942512512
3.719230652,5.546051025,3.341087341
3.670684814,5.517951965,3.476501465
3.627250671,5.369758606,3.568481445
3.560821533,5.229232788,3.714118958
3.525047302,4.999282837,3.770332336
3.461174011,4.851097107,3.729446411
3.417739868,4.590484619,3.900634766
3.361526489,4.411636353,4.138252258
3.318092346,4.273666382,4.360534668
3.249107361,4.130584717,4.644142151
3.18523407,4.066711426,5.213905334
3.090698242,3.990058899,5.367202759
3.044708252,3.931297302,5.67124939
2.99105072,3.849533081,6.080047607
2.973167419,3.78565979,6.683029175
2.942512512,3.688568115,7.004959106
2.919517517,3.629806519,7.390762329
2.893966675,3.553153992,7.385650635
2.876075745,3.504608154,7.830223083
2.855636597,3.415184021,8.318229675
2.847976685,3.374305725,8.376991272
2.832641602,3.369194031,8.486862183
2.807090759,3.402412415,8.8956604
2.794319153,3.489280701,9.55229187
2.781547546,3.565933228,9.636611938
2.771324158,3.709007263,9.370887756
2.755996704,3.800987244,9.143493652
2.735557556,3.903190613,9.082176208
2.681900024,3.959396362,9.667266846
2.648681641,4.028381348,10.61261749
2.623130798,4.05393219,10.40055084
2.618026733,4.079483032,9.414321899
2.612915039,4.084594727,9.064292908
2.618026733,4.135696411,8.798568726
2.648681641,4.212341309,8.351448059
2.684455872,4.337539673,7.549171448
2.743217468,4.39630127,7.23235321
2.786651611,4.4320755,6.905311584
2.847976685,4.439743042,6.504180908
2.893966675,4.439743042,5.965072632
2.970611572,4.421852112,6.044281006
3.026824951,4.406524658,6.087715149
3.113693237,4.403968811,5.814331055
3.164794922,4.4141922,5.556274414
3.221008301,4.452514648,5.351875305
3.233779907,4.449958801,4.976287842
3.241447449,4.398857117,4.935409546
3.256774902,4.393753052,4.807662964
3.287437439,4.4320755,4.529167175
3.320648193,4.475509644,4.227676392
3.361526489,4.539382935,4.061599731
3.374305725,4.58026123,3.663017273
3.376861572,4.641586304,3.558265686
3.358978271,4.667137146,3.696235657
3.341087341,4.679908752,3.890411377
3.302764893,4.6824646,3.90574646
3.269546509,4.687576294,4.202125549
3.215896606,4.690132141,4.48828125
3.180122375,4.685020447,4.547050476
3.12902832,4.679908752,4.480621338
3.098365784,4.613479614,4.679908752
3.054931641,4.526611328,4.966072083
3.01915741,4.424407959,5.364646912
2.939956665,4.409080505,5.609931946
2.886299133,4.480621338,5.829658508
2.819869995,4.595596313,6.080047607
2.784095764,4.902191162,6.854217529
2.75088501,5.170471191,7.104606628
2.733001709,5.581825256,6.969192505
2.707450867,5.834770203,6.999847412
2.692115784,6.195022583,7.012626648
2.661460876,6.440307617,6.767341614
2.641021729,6.803115845,6.371322632
2.610359192,7.033065796,6.220573425
2.587364197,7.268127441,5.988067627
2.554145813,7.607940674,5.903755188
2.533706665,7.776565552,5.93952179
2.513267517,7.988632202,5.970184326
2.500495911,8.149597168,5.980407715
2.48261261,8.387214661,5.947189331
2.469833374,8.540512085,5.862876892
2.446838379,8.752578735,5.798995972
2.393180847,8.882881165,5.890975952
2.367637634,9.028518677,5.924194336
2.344642639,9.066841125,5.806663513
2.336975098,9.061737061,5.52305603
2.336975098,9.005523682,5.300773621
2.33441925,8.796012878,5.045272827
2.336975098,8.568618774,5.127037048
2.339530945,8.162376404,6.064720154
2.344642639,7.845550537,6.979408264
2.349746704,7.372879028,7.492965698
2.357414246,7.137817383,7.35243988
2.359970093,6.902755737,7.554283142
2.375297546,6.800559998,7.947753906
2.395736694,6.683029175,8.356552124
2.434066772,6.624267578,8.463867188
2.462165833,6.570610046,9.031074524
2.508155823,6.545059204,9.726036072
2.5286026,6.496513367,10.42865753
2.549041748,6.442855835,10.64583588
2.564369202,6.302337646,10.75314331
2.600135803,6.146476746,10.66116333
2.635910034,5.860321045,10.29324341
2.707450867,5.668693542,9.904884338
2.761100769,5.510284424,9.526741028
2.850532532,5.379981995,9.347892761
2.911849976,5.326324463,8.724472046
2.993606567,5.229232788,8.12915802
3.049819946,5.142364502,7.163368225
3.12902832,4.973731995,6.588493347
3.180122375,4.856201172,5.770896912
3.228668213,4.695236206,5.285446167
3.302764893,4.595596313,5.001838684
3.35131073,4.501060486,5.006950378
3.402412415,4.483177185,4.991622925
3.407516479,4.48828125,5.012062073
3.353866577,4.501060486,5.078491211
3.292541504,4.46018219,4.720787048
3.205673218,4.398857117,4.087150574
3.154571533,4.355422974,3.732002258
3.098365784,4.357978821,3.97984314
3.067703247,4.352867126,3.969619751
3.024269104,4.324768066,3.849533081
2.993606567,4.291549683,3.959396362
2.947616577,4.276222229,4.225120544
2.914405823,4.237892151,4.754005432
2.87097168,4.217453003,5.047828674
2.84286499,4.191902161,5.098930359
2.796875,4.186798096,5.101486206
2.771324158,4.194458008,5.305885315
2.745773315,4.204681396,5.323768616
2.730445862,4.204681396,5.333992004
2.697227478,4.209793091,5.571601868
2.658905029,4.299217224,6.212905884
2.587364197,4.401412964,6.601272583
2.549041748,4.531723022,7.125045776
2.508155823,4.759117126,7.219581604
2.490272522,4.937965393,7.043281555
2.474945068,5.239456177,7.079055786
2.469833374,5.454071045,7.242576599
2.467277527,5.783668518,7.158256531
2.462165833,6.000846863,6.935974121
2.459617615,6.401977539,6.877212524
2.459617615,6.75201416,6.813331604
2.457061768,7.224685669,6.976852417
2.451950073,7.464859009,7.18636322
2.444282532,7.78678894,7.176147461
2.43662262,7.993743896,6.642150879
2.434066772,8.318229675,5.924194336
2.431510925,8.532852173,5.92930603
2.423843384,8.844558716,5.658477783
2.395736694,9.054069519,5.203681946
2.375297546,9.342781067,4.738677979
2.357414246,9.526741028,4.754005432
2.357414246,9.871665955,5.098930359
2.380409241,10.16549683,5.410636902
2.400848389,10.52830505,5.546051025
2.43662262,10.63561249,5.211349487
2.462165833,10.69693756,4.122917175
2.505607605,10.71737671,3.565933228
2.541374207,10.68671417,3.42540741
2.60269165,10.5308609,3.295097351
2.648681641,10.01474762,2.980834961
2.720222473,9.58039856,2.96295166
2.768768311,9.158821106,3.093254089
2.84286499,8.63760376,3.103477478
2.896522522,8.36933136,2.863304138
2.957839966,8.049957275,2.651237488
2.978279114,7.832778931,2.577140808
3.00894165,7.462303162,2.743217468
3.03704071,7.242576599,3.381973267
3.077926636,7.002403259,3.852088928
3.15712738,6.864433289,4.286437988
3.215896606,6.614044189,4.521499634
3.307876587,6.417312622,4.80255127
3.371749878,6.169471741,4.999282837
3.461174011,6.062164307,5.484733582
3.509719849,5.954856873,5.627815247
3.56337738,5.903755188,5.492401123
3.571037292,5.842437744,5.415748596
3.553153992,5.783668518,5.653366089
3.504608154,5.645698547,5.811775208
3.45350647,5.558830261,5.832214355
3.371749878,5.441299438,5.954856873
3.297653198,5.359542847,5.913970947
3.213340759,5.231788635,5.990623474
3.108581543,5.165359497,6.210357666
3.054931641,5.091262817,6.241012573
2.993606567,5.035057068,5.862876892
2.968055725,4.950737,5.333992004
2.932289124,4.904747009,5.242012024
2.909294128,4.866424561,4.833206177
2.87097168,4.838317871,4.577713013
2.850532532,4.754005432,4.876647949
2.814758301,4.705459595,5.252227783
2.786651611,4.692687988,5.653366089
2.75088501,4.713127136,5.903755188
2.733001709,4.723342896,6.008506775
2.70489502,4.72845459,5.83732605
2.687011719,4.731010437,5.965072632
2.638465881,4.759117126,6.350875854
2.595031738,4.787216187,6.78012085
2.541374207,4.812767029,7.012626648
2.515823364,4.825546265,7.487854004
2.492828369,4.838317871,7.784233093
2.48261261,4.822990417,8.239021301
2.477500916,4.743782043,8.642715454
2.474945068,4.687576294,8.979972839
2.474945068,4.649246216,9.889556885
2.469833374,4.644142151,10.90389252
2.462165833,4.644142151,12.08940887
2.459617615,4.646697998,11.97954559
2.451950073,4.667137146,10.69693756
2.446838379,4.692687988,9.874221802
2.441726685,4.743782043,8.95186615
2.441726685,4.794883728,8.438316345
2.43662262,4.891975403,7.891540527
2.431510925,4.96862793,7.957977295
2.416175842,5.119369507,8.2032547
2.370185852,5.203681946,7.899208069
2.344642639,5.321212769,7.265571594
2.326751709,5.456626892,6.933418274
2.319091797,5.735122681,6.315109253
2.31653595,5.924194336,5.888427734
2.324195862,6.172027588,5.446411133
2.347190857,6.3176651,5.213905334
2.370185852,6.455635071,4.50617218
2.418731689,6.642150879,3.941513062
2.45450592,6.767341614,3.647689819
2.51071167,6.951301575,3.716674805
2.551597595,7.061172485,3.780548096
2.618026733,7.222137451,3.885307312
2.666572571,7.314117432,4.130584717
2.735557556,7.411201477,4.243003845
2.771324158,7.495521545,4.455070496
2.799430847,7.687141418,4.886863708
2.822425842,7.832778931,5.533279419
2.868415833,8.049957275,5.781112671
2.906738281,8.190483093,5.988067627
2.985946655,8.491966248,6.169471741
3.039596558,8.72958374,6.164367676
3.121360779,9.031074524,6.00340271
3.177566528,9.202262878,5.88331604
3.254219055,9.427101135,5.645698547
3.302764893,9.557403564,5.372314453
3.374305725,9.695373535,5.058052063
3.417739868,9.695373535,4.943077087
3.456062317,9.542076111,4.794883728
3.491836548,9.353004456,4.690132141
3.486724854,8.959533691,4.24811554
3.44329071,8.660598755,3.803543091
3.394744873,8.198143005,3.555709839
3.289993286,7.904319763,3.806098938
3.215896606,7.518516541,4.232788086
3.126472473,7.301338196,4.352867126
3.077926636,7.017730713,4.314544678
3.016601563,6.846549988,4.11781311
2.983390808,6.690696716,4.345207214
2.939956665,6.447967529,4.715682983
2.914405823,6.266563416,5.035057068
2.878631592,6.036613464,5.339096069
2.85308075,5.924194336,5.934417725
2.812202454,5.770896912,6.253791809
2.786651611,5.67124939,6.445411682
2.755996704,5.538391113,6.537391663
2.738105774,5.479621887,6.506736755
2.712562561,5.43107605,6.729019165
2.692115784,5.397865295,7.720359802
2.643577576,5.305885315,8.292678833
2.60269165,5.20879364,8.959533691
2.559257507,5.024833679,9.245697021
2.541374207,4.897087097,9.434761047
2.526046753,4.690132141,9.62638855
2.523490906,4.55216217,10.04285431
2.518379211,4.391197205,10.2804718
2.518379211,4.314544678,10.66627502
2.513267517,4.209793091,11.16449738
2.503051758,4.12802887,11.82113647
2.505607605,4.020721436,12.51354218
2.51071167,3.954292297,14.16151428
2.513267517,3.836761475,14.86924744
2.531150818,3.749893188,14.82325745
2.549041748,3.627250671,14.16918182
2.577140808,3.555709839,13.32092285
2.595031738,3.448402405,12.97599792
2.60269165,3.374305725,12.82013702
2.605247498,3.254219055,12.93766785
2.635910034,3.169906616,12.86101532
2.664016724,3.098365784,12.31935883
2.72277832,3.024269104,12.06385803
2.763656616,2.985946655,11.60395813
2.835197449,2.937400818,10.92177582
2.891410828,2.922065735,9.636611938
2.970611572,2.932289124,9.028518677
3.021713257,2.957839966,8.453643799
3.103477478,3.039596558,8.116386414
3.152023315,3.134132385,7.503181458
3.228668213,3.310432434,7.107162476
3.282325745,3.438179016,6.823554993
3.358978271,3.642578125,6.749458313
3.410072327,3.752441406,6.703468323
3.466285706,3.887863159,6.53994751
3.489280701,4.020721436,6.108154297
3.530158997,4.314544678,5.806663513
3.560821533,4.531723022,5.379981995
3.629806519,4.817878723,5.188354492
3.675796509,4.991622925,4.989067078
3.703903198,5.265007019,4.759117126
3.701347351,5.443855286,4.342651367
3.678352356,5.71723938,4.212341309
3.624694824,5.921638489,4.217453003
3.586372375,6.223129272,4.194458008
3.527603149,6.404533386,4.143356323
3.484169006,6.598716736,4.043716431
3.42540741,6.611488342,3.366638184
3.384521484,6.557830811,2.939956665
3.315536499,6.573165894,2.88885498
3.256774902,6.688140869,3.039596558
3.159683228,6.808227539,3.095809937
3.108581543,6.969192505,3.251663208
3.044708252,7.275787354,3.387077332
3.016601563,7.47252655,3.71156311
2.988502502,7.707580566,4.069267273
2.968055725,7.840446472,4.235336304
2.94506073,7.950309753,4.240447998
2.934844971,7.91709137,4.498504639
2.914405823,7.756126404,4.613479614
2.89907074,7.607940674,4.943077087
2.873527527,7.375434875,5.497512817
2.855636597,7.263015747,6.565498352
2.832641602,7.153152466,7.181251526
2.819869995,7.076499939,7.822555542
2.791763306,6.966636658,7.832778931
2.766212463,6.895095825,7.878768921
2.707450867,6.75201416,8.136825562
2.666572571,6.654922485,8.302902222
2.625686646,6.516952515,8.530296326
2.612915039,6.401977539,9.342781067
2.60269165,6.115821838,10.06073761
2.587364197,5.870536804,10.79657745
2.58480835,5.625259399,10.94477081
2.582252502,5.579269409,11.11339569
2.579696655,5.59715271,11.17472076
2.569480896,5.620147705,11.32035065
2.554145813,5.617591858,11.80324554
2.538818359,5.569046021,12.1839447
2.5286026,5.438743591,11.57329559
2.513267517,5.318656921,10.54363251
2.508155823,5.196022034,10.21659088
2.505607605,5.098930359,9.94065094
2.500495911,5.073379517,9.452651978
2.467277527,5.029945374,9.202262878
2.43662262,5.047828674,9.094947815
2.403404236,5.142364502,8.834342957
2.388076782,5.180686951,7.871101379
2.388076782,5.170471191,7.390762329
2.403404236,5.152587891,7.270675659
2.431510925,5.11681366,7.311561584
2.45450592,5.065711975,7.199142456
2.495384216,4.973731995,6.984519958
2.526046753,4.930297852,6.67791748
2.58480835,4.981399536,6.37387085
2.623130798,5.08870697,5.54094696
2.689567566,5.262451172,4.943077087
2.733001709,5.38508606,4.403968811
2.807090759,5.604820251,4.153579712
2.858192444,5.753005981,3.706451416
2.909294128,5.962516785,3.59147644
2.973167419,6.092826843,3.775436401
2.993606567,6.266563416,3.921073914
2.993606567,6.348327637,4.125473022
2.99105072,6.43775177,4.253227234
2.99105072,6.51184082,3.862312317
2.985946655,6.654922485,3.527603149
2.96295166,6.744346619,3.596588135
2.94506073,6.843994141,3.762664795
2.924621582,6.907867432,3.933853149
2.904182434,7.007514954,4.018165588
2.876075745,7.050949097,4.197013855
2.858192444,7.061172485,4.334983826
2.824981689,6.997291565,4.447402954
2.801986694,6.920646667,4.288993835
2.773880005,6.790336609,4.245559692
2.758552551,6.700912476,4.299217224
2.743217468,6.578277588,4.207237244
2.725334167,6.516952515,4.260887146
2.699783325,6.427528381,4.483177185
2.666572571,6.350875854,4.914970398
2.58480835,6.220573425,5.098930359
2.538818359,6.113265991,5.239456177
2.480056763,5.995735168,5.247116089
2.45450592,5.975296021,4.953292847
2.428955078,5.977851868,5.01461792
